vcpus,memory,images,start_time,app_init,lib_init,anonymization,lib_anony,total_time
4,64,120,0,10.127297849,113.365667072,37.473061632,150.838728704,160.966026553
4,64,120,0,12.590038741,113.161966848,38.071926016,151.233892864,163.823931605
4,64,120,0,10.00131198,111.624032768,38.462194176,150.086226944,160.087538924
4,64,120,0,10.141906604,115.565446912,45.446130176,161.011577088,171.153483692
4,64,120,0,9.959000657,113.068610048,38.459104,151.527714048,161.486714705
4,64,120,0,9.972063029,114.9399232,39.416776704,154.356699904,164.328762933
4,64,120,0,10.007238549,112.89367296,36.62998016,149.52365312,159.530891669
4,64,120,0,10.004751061,110.474324992,38.653209856,149.127534848,159.132285909
4,64,120,0,9.965241504,109.404848896,37.501447168,146.906296064,156.871537568
4,64,120,0,10.236332476,113.400967936,38.00509696,151.406064896,161.642397372
4,64,120,0,10.056779266,113.18738304,38.03065984,151.21804288,161.274822146
4,64,120,0,10.020750213,115.081182976,36.92176,152.002942976,162.023693189
4,64,120,0,10.044774813,108.895104,37.8849088,146.7800128,156.824787613
4,64,120,0,10.067880558,113.748123136,37.4831488,151.231271936,161.299152494
4,64,120,0,10.268786413,107.980508928,37.079136256,145.059645184,155.328431597
4,64,120,0,10.039385778,112.333636096,39.162594816,151.496230912,161.53561669
4,64,120,0,9.962053624,106.830993152,37.677710848,144.508704,154.470757624
4,64,120,0,10.062883734,114.020982016,38.412440832,152.433422848,162.496306582
4,64,120,0,9.930845441,108.429126912,38.380728064,146.809854976,156.740700417
4,64,120,0,10.101787677,110.72292608,37.29125504,148.01418112,158.115968797
4,64,120,0,12.497934377,110.33423488,39.17022208,149.50445696,162.002391337
4,64,120,0,10.004318571,114.347425024,38.432451072,152.779876096,162.784194667
4,64,120,0,12.433926921,113.170164224,42.333026816,155.50319104,167.937117961
4,64,120,0,10.046564101,113.476128,39.272222976,152.748350976,162.794915077
4,64,120,0,10.018586797,112.637721088,38.367083008,151.004804096,161.023390893
4,16,90,0,10.183657968,131.830899968,52.71869312,184.549593088,194.733251056
4,16,90,0,10.1077322,129.825726976,52.273714176,182.099441152,192.207173352
4,16,90,0,10.059521698,130.09666304,51.131329024,181.227992064,191.287513762
4,16,90,0,10.065681881,137.86126592,51.517107968,189.378373888,199.444055769
4,16,90,0,9.970454152,132.834845184,51.771558912,184.606404096,194.576858248
4,16,90,0,10.046633317,132.288798976,52.89373696,185.182535936,195.229169253
4,16,90,0,10.108211021,130.699632896,51.417970944,182.11760384,192.225814861
4,16,90,0,9.853580239,131.976195072,54.365383936,186.341579008,196.195159247
4,16,90,0,12.773955748,126.237710848,54.812484096,181.050194944,193.824150692
4,16,90,0,9.901835949,131.926663936,52.64712704,184.573790976,194.475626925
4,16,90,0,9.946619211,132.27989888,61.224167936,193.504066816,203.450686027
4,16,90,0,10.210563705,133.950326272,51.582494976,185.532821248,195.743384953
4,16,90,0,9.884408663,132.86844288,53.114585088,185.983027968,195.867436631
4,16,90,0,10.191330643,135.56989312,51.88155776,187.45145088,197.642781523
4,16,90,0,11.158837362,130.907294976,52.104755968,183.012050944,194.170888306
4,16,90,0,10.005318144,131.136487936,51.687872,182.824359936,192.82967808
4,16,90,0,9.946447259,133.869373184,51.416089088,185.285462272,195.231909531
4,16,90,0,10.134902408,131.90063104,51.801967872,183.702598912,193.83750132
4,16,90,0,10.067088859,131.591657984,52.643276032,184.234934016,194.302022875
4,16,90,0,10.147149603,126.792532992,52.679796992,179.472329984,189.619479587
4,16,90,0,9.901482605,128.005169152,51.496678912,179.501848064,189.403330669
4,16,90,0,10.120743879,132.672312064,51.917901056,184.59021312,194.710956999
4,16,90,0,9.885656359,134.721568,51.730978048,186.452546048,196.338202407
4,16,90,0,10.0630659,132.155742976,52.651469312,184.807212288,194.870278188
4,16,90,0,10.165584729,131.80712704,51.653056768,183.460183808,193.625768537
4,16,90,0,10.11908165,131.024909824,52.406963968,183.431873792,193.550955442
4,16,90,0,10.173049253,131.119315968,52.03705088,183.156366848,193.329416101
4,16,90,0,9.995331819,132.714402816,51.259523072,183.973925888,193.969257707
4,16,90,0,10.092706395,129.461913088,52.100128768,181.562041856,191.654748251
4,16,90,0,12.541338122,129.150362112,52.218321152,181.368683264,193.910021386
1,64,60,0,9.547387704,144.622926848,21.406978048,166.029904896,175.5772926
1,64,60,0,9.29105844,144.950608896,21.484670976,166.435279872,175.726338312
1,64,60,0,9.571925601,147.08612096,21.349572864,168.435693824,178.007619425
1,64,60,0,9.431823182,147.110507776,21.8452992,168.955806976,178.387630158
